country,name,year,annual_TJ,peak_to_trough,winter_summer,swing_share_pct,swing_TJ
AL,Albania,2021,2026,2.18,0.89,6.3,128
AL,Albania,2022,1590,5.53,0.82,6.6,106
AL,Albania,2023,4007,9.57,0.75,22.5,902
AL,Albania,2024,2980,2.86,0.88,11.1,332
AT,Austria,2020,335452,3.24,2.72,18.4,61820
AT,Austria,2021,355541,3.17,2.91,17.9,63579
AT,Austria,2022,316048,3.63,2.97,18.8,59488
AT,Austria,2023,274344,3.10,2.84,18.0,49298
AT,Austria,2024,273305,3.55,2.95,20.1,54843
BE,Belgium,2020,699208,2.03,1.84,12.5,87719
BE,Belgium,2021,702342,2.67,2.32,15.7,110165
BE,Belgium,2022,607419,2.44,2.07,13.0,78681
BE,Belgium,2023,572712,2.32,2.08,14.6,83432
BE,Belgium,2024,551190,2.89,2.35,15.7,86543
BG,Bulgaria,2020,116763,2.45,2.12,14.1,16476
BG,Bulgaria,2021,132031,1.95,1.59,10.0,13188
BG,Bulgaria,2022,108139,2.81,1.92,14.9,16068
BG,Bulgaria,2023,100994,2.01,1.65,10.5,10586
BG,Bulgaria,2024,108529,1.92,1.61,9.4,10228
CZ,Czechia,2020,338495,3.01,2.72,18.8,63799
CZ,Czechia,2021,362777,3.45,3.04,19.2,69774
CZ,Czechia,2022,304159,3.60,3.35,20.9,63626
CZ,Czechia,2023,267900,3.07,2.92,19.8,52972
CZ,Czechia,2024,267180,3.89,3.14,20.7,55410
DE,Germany,2020,3463638,2.73,2.50,17.3,599382
DE,Germany,2021,3633110,3.68,3.12,19.2,698852
DE,Germany,2022,3073896,4.05,3.16,20.1,616530
DE,Germany,2023,2956782,3.42,2.99,19.7,582268
DE,Germany,2024,3013049,3.38,2.87,19.2,579604
DK,Denmark,2020,108920,2.30,2.05,12.4,13470
DK,Denmark,2021,116550,2.95,2.51,15.4,17979
DK,Denmark,2022,92844,2.44,2.16,14.2,13143
DK,Denmark,2023,93880,2.07,1.83,12.6,11868
DK,Denmark,2024,94406,2.96,2.22,14.5,13658
EE,Estonia,2020,16196,3.57,3.10,19.0,3074
EE,Estonia,2021,18347,4.76,4.00,22.1,4062
EE,Estonia,2022,13662,5.23,3.90,23.2,3165
EE,Estonia,2023,12518,4.52,3.31,21.5,2685
EE,Estonia,2024,13545,6.39,4.21,24.1,3265
EL,Greece,2020,229070,1.64,1.13,6.1,14083
EL,Greece,2021,252981,1.57,0.97,4.7,11829
EL,Greece,2022,204936,2.59,1.07,11.8,24206
EL,Greece,2023,184439,1.66,0.94,4.7,8583
EL,Greece,2024,239760,1.69,1.03,6.4,15422
ES,Spain,2020,1284606,1.74,1.26,5.8,74120
ES,Spain,2021,1359177,1.45,1.28,5.8,78695
ES,Spain,2022,1307697,1.56,1.16,5.4,70865
ES,Spain,2023,1174274,1.39,1.20,4.1,48065
ES,Spain,2024,1123069,1.66,1.41,7.2,80884
FI,Finland,2020,92878,1.63,1.51,7.3,6768
FI,Finland,2021,92797,3.49,2.33,18.9,17583
FI,Finland,2022,48998,2.60,1.51,13.6,6646
FI,Finland,2023,67114,3.84,1.34,12.2,8214
FI,Finland,2024,67294,2.32,1.69,11.2,7510
FR,France,2020,1610382,3.48,2.91,20.5,330466
